generation_time,C.NTP.offset,Difference
1407240430700.0,105.0,3264.0
1407240430718.0,-23434.0,3261.0
1407240430749.0,-70798.0,3271.0
1407240430779.0,1124.0,3281.0
1407240430791.0,714.0,3272.0
1407240430812.0,-890.0,3272.0
1407240430817.0,105.0,3256.0
1407240430827.0,50413.0,3246.0
1407240430830.0,-65610.0,3228.0
1407240430899.0,6683.0,3276.0
1407240430903.0,1378.0,3260.0
1407240430904.0,-23434.0,3240.0
1407240430921.0,1124.0,3236.0
1407240430948.0,-70798.0,3242.0
1407240430981.0,-65610.0,3255.0
1407240430994.0,714.0,3247.0
1407240431031.0,-890.0,3263.0
1407240431046.0,6683.0,3258.0
1407240431049.0,50413.0,3240.0
1407240431102.0,105.0,3272.0
1407240431103.0,-23434.0,3252.0
1407240431106.0,-70798.0,3235.0
1407240431108.0,1378.0,3216.0
1407240431148.0,1124.0,3235.0
1407240431174.0,-65610.0,3241.0
1407240431181.0,714.0,3227.0
1407240431225.0,50413.0,3250.0
1407240431256.0,-890.0,3260.0
1407240431275.0,6683.0,3259.0
1407240431278.0,105.0,3241.0
1407240431299.0,1378.0,3241.0
1407240431310.0,-70798.0,3232.0
1407240431311.0,-23434.0,3212.0
1407240431371.0,714.0,3251.0
1407240431374.0,1124.0,3233.0
1407240431384.0,-65610.0,3223.0
1407240431413.0,1378.0,3231.0
1407240431451.0,-890.0,3248.0
1407240431459.0,50413.0,3236.0
1407240431495.0,105.0,3251.0
1407240431498.0,6683.0,3233.0
1407240431514.0,-70798.0,3228.0
1407240431558.0,-23434.0,3252.0
1407240431562.0,1124.0,3235.0
1407240431582.0,-65610.0,3234.0
1407240431587.0,-890.0,3219.0
1407240431614.0,50413.0,3225.0
1407240431617.0,714.0,3207.0
1407240431650.0,6683.0,3220.0
1407240431698.0,105.0,3247.0
1407240431705.0,-23434.0,3233.0
1407240431717.0,1378.0,3224.0
1407240431720.0,1124.0,3207.0
1407240431747.0,-70798.0,3213.0
1407240431775.0,714.0,3220.0
1407240431790.0,-65610.0,3215.0
1407240431825.0,1378.0,3229.0
1407240431847.0,-890.0,3230.0
1407240431856.0,50413.0,3218.0
1407240431899.0,105.0,3241.0
1407240431908.0,-70798.0,3229.0
1407240431917.0,-23434.0,3217.0
1407240431920.0,6683.0,3200.0
1407240431972.0,714.0,3231.0
1407240431976.0,1124.0,3214.0
1407240431992.0,-65610.0,3209.0
1407240432052.0,-890.0,3249.0
1407240432056.0,6683.0,3232.0
1407240432083.0,-70798.0,3238.0
1407240432100.0,50413.0,3235.0
1407240432107.0,105.0,3221.0
1407240432110.0,1378.0,3203.0
